Accession,Biosample,Kept,type,Nreads,NEWEVAL,X..contigs.....1000.bp.,X..contigs.....5000.bp.,X..contigs.....10000.bp.,X..contigs.....25000.bp.,X..contigs.....50000.bp.,Total.length.....0.bp.,Total.length.....1000.bp.,Total.length.....5000.bp.,Total.length.....10000.bp.,Total.length.....25000.bp.,Total.length.....50000.bp.,X..contigs,Largest.contig,N50.x,N75,L50,L75,X..N.s.per.100.kbp,X..predicted.genes.....0.bp.,X..predicted.genes.....300.bp.,X..predicted.genes.....1500.bp.,X..predicted.genes.....3000.bp.,X..total.reads,X..left,X..right,Mapped....,Properly.paired....,Avg..coverage.depth,Coverage....1x....,species,species_match,contig_count,N50.y,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,GC,contigs,Genes,TotalLength,geneshet,Min,Q1,Median,Mean,Q3,Max,NAs,MashMedianrounded,type2
GCF_001902415.1,SAMN05412453,Yes,NCBI,NA,NA,9,6,4,4,3,5584283,5584283,5574281,5559753,5559753,5525379,9,5294741,5294741,5294741,1,1,0,4905 + 2 part,4478 + 2 part,696 + 0 part,68 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,9,5294741,5294741,5584283,no,-,ST11,1,2,9,12,ybt 9; ICEKp3,183,-,0,-,0,-,0,-,0,-,wzi50,KL15,none,Very high,99.79%,,O4,O4,none,Very high,99.66%,,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^,-,-,-,-,mphA,CatB4.v1,-,sul1,-,-,dfrA12;dfrA14.v2*,OXA-1,-,CTX-M-15,-,OXA-48,SHV-11.v1,35Q,-,-,GyrA-83I;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,5,11,6,5,1,25,37,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.25,9,4867,5584283,NA,0.000312573,0.00470559,0.0101041,0.00870697944319563,0.0112643,0.0186813,1,0.0101,BD
GCF_001902475.1,SAMN06109054,Yes,NCBI,NA,NA,2,2,2,2,2,5699058,5699058,5699058,5699058,5699058,5699058,2,5536506,5536506,5536506,1,1,0,4998 + 0 part,4552 + 0 part,699 + 0 part,64 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,2,5536506,5536506,5699058,no,-,ST11,1,2,7,10,ybt 9; ICEKp3,503-1LV,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.40%,,OL101,OL101,-,High,94.98%,OL101_09_glycosylhydrolase,aadA2;aadA2;ant(2'')-Ia;rmtB,-,-,-,-,-,cmlA4*,-,sul1*,-,-,-,TEM-1D.v1^,-,CTX-M-65;SHV-12,-,KPC-2,SHV-11.v1,238S;240K;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.4,2,4957,5699058,NA,9.55247e-05,0.00537869,0.0107836,0.00921216587763518,0.0118471,0.0198213,1,0.0108,BD
GCF_001908895.1,SAMN05412457,Yes,NCBI,NA,NA,3,3,3,3,3,5526153,5526153,5526153,5526153,5526153,5526153,3,5295517,5295517,5295517,1,1,0,4846 + 0 part,4432 + 0 part,688 + 0 part,68 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,3,5295517,5295517,5526153,no,-,ST11,1,2,7,8,ybt 9; ICEKp3,183,-,0,-,0,-,0,-,0,-,wzi50,KL15,none,Very high,99.79%,,O4,O4,none,Very high,99.66%,,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aph3-Ia.v1^,-,-,-,-,-,CatB4.v1,-,-,-,-,dfrA14.v2*,OXA-1,-,CTX-M-15,-,OXA-48,SHV-11.v1,35Q,-,-,GyrA-83I;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,5,11,6,5,1,25,37,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.3,3,4805,5526153,NA,0.000336872,0.00445566,0.00981378,0.00843400865697145,0.0110007,0.0186813,1,0.0098,BD
GCF_001922465.1,SAMN04014890,Yes,NCBI,NA,NA,4,4,4,4,4,5779484,5779484,5779484,5779484,5779484,5779484,4,5435743,5435743,5435743,1,1,0,5098 + 1 part,4644 + 0 part,705 + 0 part,68 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,4,5435743,5435743,5779484,no,-,ST11,0,2,10,22,-,0,-,0,-,0,-,0,-,0,-,wzi177,unknown (best match = KL107),none,Low,98.88%,,O3b,O3b,*,High,91.71%,,aac(3)-IIa.v1^;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2;aac(6')-Ib3^;aadA2;rmtC;strA.v1^;strB.v1,-,-,qnrB9.2^,-,mphA,CatB4.v1,-,sul1;sul1;sul2,tet(A).v1,-,dfrA14.v2*,CMY-6;OXA-1;TEM-1D.v1^,-,CTX-M-15;CTX-M-15,-,NDM-1,SHV-11.v1;SHV-11.v1^,35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.97,4,5064,5779484,NA,2.38274e-05,0.0055427,0.0114865,0.0099816557372418,0.0127293,0.0202797,1,0.0115,BD
GCF_002113865.1,SAMN04158282,Yes,NCBI,NA,NA,5,5,5,5,4,6081126,6081126,6081126,6081126,6081126,6040015,5,5380605,5380605,5380605,1,1,0,5265 + 2 part,4817 + 2 part,753 + 0 part,80 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5380605,5380605,6081126,no,-,ST11,1,2,10,24,ybt 16; ICEKp12,277,-,0,-,0,-,0,-,0,-,wzi24,KL24,none,Very high,100.00%,,O2v1,O2,none,Very high,98.52%,,aac(3)-IIa.v1^;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2;aac(6')-Ib-cr.v2;aadA*;aadA2^;aph(3')-VI;aph3-Ia.v1^;armA,-,-,qnrS1,-,mphE.v2;msrE,CatB4.v1;CatB4.v1,-,sul1,tet(A).v1,-,dfrA12,OXA-1;OXA-1;OXA-9.v1;TEM-1D.v1^,-,CTX-M-15;CTX-M-15,-,NDM-1,SHV-11.v1,35Q,OmpK35-40%,-,GyrA-83F;GyrA-87A;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,6,15,5,4,11,33,23,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.49,5,5231,6081126,NA,7.15897e-05,0.00617965,0.0116661,0.0100971690841206,0.0125875,0.0199514,1,0.0117,BD
GCF_002164855.2,SAMN06909161,Yes,NCBI,NA,NA,5,5,4,2,2,5610557,5610557,5610557,5604961,5576683,5576683,5,5421726,5421726,5421726,1,1,0,4931 + 0 part,4498 + 0 part,701 + 0 part,65 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5421726,5421726,5610557,no,-,ST11,1,2,8,10,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi64,KL64,none,Very high,99.89%,,O2v1,O2,none,Very high,98.65%,,aadA2^;aadA2^;aph3-Ia.v1^;rmtB,-,-,-,-,mphA,-,-,sul1,-,-,dfrA12,TEM-1D.v1^,-,CTX-M-65,-,KPC-2,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.26,5,4877,5610557,NA,0.000191626,0.00518381,0.0105261,0.00904515874779769,0.0116661,0.0194352,1,0.0105,BD
GCF_002180175.1,SAMN04014987,Yes,NCBI,NA,NA,4,4,4,4,4,5746129,5746129,5746129,5746129,5746129,5746129,4,5375740,5375740,5375740,1,1,0,5016 + 0 part,4583 + 0 part,718 + 0 part,75 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,4,5375740,5375740,5746129,no,-,ST11,1,2,10,14,ybt 15; ICEKp11,230-2LV,-,0,-,0,-,0,-,0,-,wzi24,KL24,none,Very high,99.99%,,O2v1,O2,none,Very high,98.52%,,aac(6')-Ib'.v1;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB9.2^,-,mphA,CatB4.v1;catII.2*,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1,-,CTX-M-15,-,NDM-1,SHV-11.v1,35Q,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,65,15,22,4,1,37,34,77,1,4,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.05,4,4981,5746129,NA,9.55247e-05,0.00557568,0.0108702,0.00937476507394441,0.0118471,0.0195632,1,0.0109,BD
GCF_002202255.1,SAMN04014989,Yes,NCBI,NA,NA,5,5,5,5,4,5798614,5798614,5798614,5798614,5798614,5755798,5,5328319,5328319,5328319,1,1,0,5074 + 4 part,4623 + 4 part,714 + 0 part,76 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5328319,5328319,5798614,no,-,ST11,0,2,10,21,-,0,-,0,-,0,-,0,-,0,-,wzi24,KL24,none,Very high,100.00%,,O2v1,O2,none,Very high,98.51%,,aac(3)-IIa.v1^;aac(3)-IId^;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2;aac(6')-Ib3^;rmtC;strA.v1^;strB.v1,-,-,qnrB9.2^,-,mphA,CatB4.v1,-,sul1;sul1^;sul2,tet(A).v1,-,dfrA14.v2*,CMY-6;OXA-1;TEM-1D.v1^,-,CTX-M-15,-,NDM-1,SHV-11.v1;SHV-11.v1,35Q;35Q,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,DHA-1?-70%,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.81,5,5034,5798614,NA,0.000409992,0.00567497,0.0113086,0.0097414589484356,0.0122604,0.0197565,1,0.0113,BD
GCF_002257765.2,SAMN06671967,Yes,NCBI,NA,NA,4,4,3,3,3,5624884,5624884,5624884,5619288,5619288,5619288,4,5444983,5444983,5444983,1,1,0,4937 + 0 part,4504 + 0 part,700 + 0 part,67 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,4,5444983,5444983,5624884,no,-,ST11,1,2,9,10,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi64,KL64,none,Very high,99.91%,,O2v1,O2,none,Very high,98.65%,,aac(6')-Ib-cr.v2;aadA16*;aadA2,-,-,-,-,-,-,arr-3,sul1,tet(A).v1*,-,dfrA27,TEM-1D.v1^,-,CTX-M-65,-,KPC-2,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.27,4,4879,5624884,NA,2.38274e-05,0.00531349,0.0106545,0.00911232234902035,0.0117112,0.0194352,1,0.0107,BD
GCF_002269295.1,SAMN07508215,Yes,NCBI,NA,NA,1,1,1,1,1,5456357,5456357,5456357,5456357,5456357,5456357,1,5456357,5456357,5456357,1,1,0,4768 + 0 part,4369 + 0 part,681 + 0 part,64 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,1,5456357,5456357,5456357,no,-,ST11,1,0,2,1,ybt 9; ICEKp3,503-1LV,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.32%,,OL101,OL101,-,High,94.97%,OL101_09_glycosylhydrolase,aadA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,97,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.46,1,4724,5456357,NA,0.000336872,0.00473708,0.0101041,0.008622413598952,0.0112201,0.0196275,1,0.0101,BD
GCF_002278055.1,SAMN07484315,Yes,NCBI,NA,NA,1,1,1,1,1,5475860,5475860,5475860,5475860,5475860,5475860,1,5475860,5475860,5475860,1,1,0,4790 + 0 part,4383 + 0 part,684 + 0 part,64 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,1,5475860,5475860,5475860,no,-,ST11,1,1,5,6,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi209,KL47,-,High,99.30%,KL47_11_wzy,OL101,OL101,-,High,94.98%,OL101_09_glycosylhydrolase,aadA2;armA,-,-,-,-,mphE.v2;msrE,-,-,sul1,-,-,-,-,-,CTX-M-3,-,-,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.38,1,4752,5475860,NA,0.000336872,0.00495906,0.0103562,0.00885179544137303,0.0114419,0.0197565,1,0.0104,BD
GCF_002587165.1,SAMN07312488,Yes,NCBI,NA,NA,5,4,4,3,3,5880984,5880984,5879428,5879428,5869367,5869367,5,5484708,5484708,5484708,1,1,0,5177 + 0 part,4705 + 0 part,730 + 0 part,70 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5484708,5484708,5880984,no,-,ST11,1,2,9,15,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi64,KL64,none,Very high,99.91%,,O2v1,O2,none,Very high,98.61%,,aac(6')-Ib-cr.v2;aadA16*;aadA2;rmtB,-,-,-,-,-,catII.2*;catII.2*;catII.2*;floR.v1*,arr-3,sul1,-,-,dfrA27,TEM-1D.v1^,-,CTX-M-27;CTX-M-65,-,KPC-2,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,floR.v1*-16%,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.07,5,5117,5880984,NA,0.000656154,0.00518381,0.0108269,0.00922130738715067,0.0119383,0.0191812,1,0.0108,BD
GCF_002811305.2,SAMN07235711,Yes,NCBI,NA,NA,5,5,4,3,3,5777320,5777320,5777320,5771724,5761664,5761664,5,5480603,5480603,5480603,1,1,0,5075 + 0 part,4620 + 0 part,713 + 0 part,68 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5480603,5480603,5777320,no,-,ST11,1,2,7,8,ybt 9; ICEKp3,503-1LV,-,0,-,0,-,0,-,0,-,wzi64,KL64,none,Very high,99.91%,,O2v1,O2,none,Very high,98.65%,,aadA2;rmtB,-,fosA3,-,-,-,catII.2*,-,-,-,-,-,TEM-1D.v1^,-,CTX-M-65,-,KPC-2;KPC-2,SHV-11.v1,35Q,OmpK35-17%,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,158,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.1,5,5014,5777320,NA,0,0.00577481,0.0109136,0.00940746952259265,0.0119383,0.0197565,1,0.0109,BD
GCF_002848545.1,SAMN08180551,Yes,NCBI,NA,NA,5,5,4,3,3,5859831,5859831,5859831,5854235,5844175,5844175,5,5492338,5492338,5492338,1,1,0,5143 + 0 part,4681 + 0 part,723 + 0 part,72 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5492338,5492338,5859831,no,-,ST11,1,2,6,7,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi209,KL47,*,Very high,99.41%,,OL101,OL101,-,High,94.71%,"OL101_08_wbbB,OL101_09_glycosylhydrolase",aadA2;rmtB,-,-,-,-,-,catII.2*,-,-,-,-,-,TEM-1D.v1^,-,CTX-M-65;SHV-12,-,KPC-2,SHV-11.v1,238S;240K;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.09,5,5100,5859831,NA,0.000805673,0.00505504,0.0104835,0.00900503814793439,0.0115761,0.0190552,1,0.0105,BD
GCF_002848565.1,SAMN08180799,Yes,NCBI,NA,NA,5,4,4,4,4,5845963,5845963,5842610,5842610,5842610,5842610,5,5359967,5359967,5359967,1,1,0,5115 + 0 part,4680 + 0 part,724 + 0 part,77 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5359967,5359967,5845963,no,-,ST11,1,2,10,20,ybt 9; ICEKp3,15-1LV,-,0,-,0,-,0,-,0,-,wzi74,KL103,*,Very high,96.71%,,O2v1,O2,none,Very high,97.72%,,aac(6')-Ib4^;aadA1.v1^;aadA2^;aphA15;rmtB;strA.v1^;strB.v1,-,fosA3,-,-,-,catB2.v1,-,sul2,tet(G).v1,-,dfrA12,TEM-1D.v1^;TEM-1D.v1^;TEM-1D.v1^,-,CTX-M-14;CTX-M-3;SHV-12,-,KPC-2;VIM-1,SHV-11.v1,238S;240K;35Q;35Q,OmpK35-40%,-,GyrA-83I;ParC-80I,CTX-M-14*-41%;aac(3)-IId*?-0%,floR.v2*?;sul1*?-8%,ST11,3,3,1,1,1,1,4,14,11,14,5,9,22,19,9,5,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.87,5,5093,5845963,NA,0.00134007,0.00607761,0.0113529,0.00994173929905832,0.0124935,0.0200167,1,0.0114,BD
GCF_002848585.1,SAMN08180798,Yes,NCBI,NA,NA,5,5,4,3,3,5899407,5899407,5899407,5893811,5883751,5883751,5,5460465,5460465,5460465,1,1,0,5197 + 0 part,4717 + 0 part,730 + 0 part,66 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5460465,5460465,5899407,no,-,ST11,4,2,7,9,ybt 9; ICEKp3,503,-,0,iuc 1,1,-,0,-,0,rmpA2_8-60%,wzi209,KL47,none,Very high,98.93%,,OL101,OL101,-,High,94.99%,"OL101_05_wbbL,OL101_09_glycosylhydrolase",aac(3)-IId^;aadA2;rmtB,-,-,-,-,mphA,catII.2*,-,-,-,-,-,TEM-1D.v1^,-,CTX-M-65;SHV-12,-,KPC-2,SHV-11.v1,238S;240K;35Q;35Q,OmpK35-17%;OmpK36-41%,-,GyrA-83I;GyrA-87G;ParC-80I,SHV-12*-66%;TEM-105*-56%,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,56.84,5,5161,5899407,NA,0.000880953,0.00604372,0.0114419,0.00986971677498481,0.0124935,0.0200167,1,0.0114,BD
GCF_002852365.2,SAMN07609144,Yes,NCBI,NA,NA,5,5,4,3,3,5835473,5835473,5835473,5829877,5819817,5819817,5,5459441,5459441,5459441,1,1,0,5129 + 1 part,4667 + 1 part,723 + 0 part,68 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5459441,5459441,5835473,no,-,ST11,1,2,8,10,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi64,KL64,none,Very high,99.91%,,O2v1,O2,none,Very high,98.65%,,aadA2;aadA2^;aph3-Ia.v1^;rmtB,-,-,-,-,mphA,-,-,sul1,-,-,dfrA12,TEM-1D.v1^,-,CTX-M-65,-,KPC-2,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.1,5,5065,5835473,NA,0,0.00524853,0.0105688,0.00907009123759113,0.0116661,0.0189925,1,0.0106,BD
GCF_002893825.1,SAMN08166690,Yes,NCBI,NA,NA,2,2,2,2,2,5537629,5537629,5537629,5537629,5537629,5537629,2,5366808,5366808,5366808,1,1,0,4878 + 0 part,4455 + 0 part,686 + 0 part,62 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,2,5366808,5366808,5537629,no,-,ST11,1,2,7,8,ybt 9; ICEKp3,503-2LV,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.42%,,OL101,OL101,-,High,94.98%,OL101_09_glycosylhydrolase,aadA2;rmtB,-,fosA3,-,-,-,catII.2*,-,-,-,-,-,TEM-1D.v1^,-,CTX-M-65;SHV-12,-,KPC-2,-,238S;240K;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,97,6,5,1,60,65,9,5,5,222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.36,2,4827,5537629,NA,0.000434439,0.00508714,0.0106116,0.0090444355054678,0.0117112,0.0193714,1,0.0106,BD
GCF_002967795.2,SAMN08605586,Yes,NCBI,NA,NA,5,3,3,3,2,5915658,5915658,5909218,5909218,5909218,5868772,5,5539612,5539612,5539612,1,1,0,5203 + 2 part,4724 + 2 part,731 + 0 part,73 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5539612,5539612,5915658,no,-,ST11,1,2,9,12,ybt 14; ICEKp5,376-1LV,-,0,-,0,-,0,-,0,-,wzi14,KL14,-,High,99.93%,KL14_08_wzx,O3b,O3b,none,Very high,99.06%,,aac(6')-Ib3^;aph(3')-VI;rmtC;rmtC,-,-,qnrB1.v1,-,mphA,catA1^,-,sul1,-,-,dfrA14.v2*,CMY-6,-,CTX-M-15,-,NDM-1,SHV-11.v1,35Q,OmpK35-64%,-,GyrA-83I;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,4,4,125,4,1,8,8,2,4,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.98,5,5185,5915658,NA,0.00221642,0.00541137,0.0111761,0.00967522543666464,0.0123533,0.0204123,1,0.0112,BD
GCF_003037005.2,SAMN08624622,Yes,NCBI,NA,NA,5,5,4,3,3,5841127,5841127,5841127,5835531,5823561,5823561,5,5444559,5444559,5444559,1,1,0,5131 + 3 part,4661 + 3 part,723 + 0 part,74 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5444559,5444559,5841127,no,-,ST11,1,2,9,13,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.42%,,OL101,OL101,-,High,94.99%,OL101_09_glycosylhydrolase,aac(3)-IId^;aadA2;rmtB,-,fosA3,qnrS1,-,-,-,-,sul1,tet(A).v1,-,dfrA1.v1,LAP-2;TEM-1D.v1^,-,CTX-M-65;SHV-12,-,KPC-2,SHV-11.v1^,238S;240K;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.12,5,5079,5841127,NA,0.000191626,0.00550978,0.0108269,0.00932866226192284,0.0119383,0.0187432,1,0.0108,BD
GCF_003073335.1,SAMN04014920,Yes,NCBI,NA,NA,7,7,7,6,5,6131952,6131952,6131952,6131952,6121875,6075371,7,5511019,5511019,5511019,1,1,0,5415 + 0 part,4921 + 0 part,747 + 0 part,78 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,7,5511019,5511019,6131952,no,-,ST11,1,1,8,19,ybt 15; ICEKp11,231,-,0,-,0,-,0,-,0,-,wzi64,KL64,none,Perfect,100.00%,,O2v1,O2,none,Very high,98.64%,,aac(3)-IId^;aadA2^;rmtB;strA.v1^;strB.v1,-,-,qnrB4;qnrB4,-,erm(42)*,-,-,sul2,tet(G).v1,-,dfrA12,DHA-1;DHA-1;TEM-1D.v1^;TEM-1D.v1^;TEM-1D.v1^;TEM-1D.v1^,-,CTX-M-14;CTX-M-14,-,-,SHV-11.v1,35Q,OmpK35-70%;OmpK36-28%,-,GyrA-83I;ParC-80I,-,floR.v2*?;sul1?-63%,ST11,3,3,1,1,1,1,4,6,15,22,4,1,37,34,14,1,33,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.59,7,5293,6131952,NA,0.00165343,0.00580821,0.0118017,0.0102643843317132,0.0129677,0.0204123,1,0.0118,BD
